query_id,engine,mode,status,cold_s,warm_median_s,warm_p95_s,warm_min_s,warm_max_s,cold_vs_warm,rows_returned,spill,warm_iters,timestamp,workload,wall_time_s,rows_loaded,files_loaded,elapsed_s,rows_per_s,wall_s,batches,batch_size,total_rows,total_s,median_batch_ms,p95_batch_ms,min_batch_ms,max_batch_ms,iterations,errors,submit_median_ms,submit_p95_ms,completion_total_s,semantic_note,rows_affected,submit_elapsed_s,completion_elapsed_s,total_elapsed_s,error,median_ms,p95_ms,min_ms,max_ms
Q01_full_agg,clickhouse,local,OK,0.7858,0.2402,0.2422,0.2382,0.2432,0.5456,1.0,False,5.0,2026-04-15T20:07:43.934844+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02_filtered_agg,clickhouse,local,OK,0.0706,0.0171,0.0172,0.0165,0.0173,0.0535,5.0,False,5.0,2026-04-15T20:07:44.213858+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03_groupby_low_card,clickhouse,local,OK,0.8217,0.6244,0.6833,0.5998,0.7004,0.1973,20.0,False,5.0,2026-04-15T20:07:48.362156+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04_groupby_high_card,clickhouse,local,OK,3.1885,2.8876,2.9279,2.6223,3.0542,0.3009,1000.0,False,5.0,2026-04-15T20:08:05.895042+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05_date_range,clickhouse,local,OK,0.1265,0.0902,0.0905,0.0886,0.1056,0.0363,140.0,False,5.0,2026-04-15T20:08:06.710095+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06_topn,clickhouse,local,OK,0.8081,0.5452,0.5595,0.5186,0.6321,0.2629,100.0,False,5.0,2026-04-15T20:08:10.407272+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07_join,clickhouse,local,OK,1.2849,1.108,1.126,1.085,1.2053,0.1769,50.0,False,5.0,2026-04-15T20:08:17.467921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08_string_like,clickhouse,local,OK,1.173,0.9201,0.9614,0.9013,1.0218,0.2529,10.0,False,5.0,2026-04-15T20:08:23.521830+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09_approx_distinct,clickhouse,local,OK,1.8418,1.3172,1.3183,1.2707,1.389,0.5246,584.0,False,5.0,2026-04-15T20:08:32.120016+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10_window_func,clickhouse,local,OK,0.4869,0.351,0.3653,0.3474,0.3738,0.136,584.0,False,5.0,2026-04-15T20:08:34.562539+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11_json_extract,clickhouse,local,OK,2.3674,1.9995,2.0554,1.9346,2.1662,0.3678,50.0,False,5.0,2026-04-15T20:08:47.221808+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12_heavy_spill,clickhouse,local,OK,12.3531,12.2411,12.5766,12.0787,13.2463,0.112,177.0,False,5.0,2026-04-15T20:10:02.077888+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13_multi_dim_groupby,clickhouse,local,OK,0.8368,0.6114,0.6519,0.5989,0.6696,0.2254,3240.0,False,5.0,2026-04-15T20:10:06.328182+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clickhouse,,OK,,,,,,,,,,2026-04-15T20:11:20.300254+00:00,W1_bulk_load,73.831,10000000.0,1160.0,73.525,136008.0,73.97,,,,,,,,,,,,,,,,,,,,,,,
,clickhouse,,OK,,,,,,,,,,2026-04-15T20:13:02.159020+00:00,W2_micro_batch,,,,,4929.0,101.857,50.0,10000.0,500000.0,101.432,112.21,148.18,106.88,161.17,,,,,,,,,,,,,,,
,clickhouse,,OK,,,,,,,,,,2026-04-15T20:13:45.289606+00:00,W3_point_update,,,,,,43.13,,,,42.93,,,,,1000.0,0.0,18.932,130.653,10.207,ClickHouse mutations are ASYNCHRONOUS. Submission is fast (~ms); completion rewrites entire data parts and can take seconds to minutes. Point updates are an anti-pattern in ClickHouse — use ReplacingMergeTree instead.,,,,,,,,,
,clickhouse,,OK,,,,,,,,,,2026-04-15T20:13:46.513352+00:00,W4_bulk_update,,,,,60611.0,1.223,,,,,,,,,,,,,,"ClickHouse ALTER TABLE ... UPDATE is an ASYNC mutation that rewrites affected part files. Submit latency=14ms (fast); Completion=1.0s (rewrites parts on disk). For high-frequency updates at scale, prefer ReplacingMergeTree + periodic OPTIMIZE.",62345.0,0.014,1.015,1.029,,,,,
Q01_full_agg,doris,local,OK,2.2577,1.7107,1.7604,1.657,1.7797,0.5469,1.0,False,5.0,2026-04-15T17:55:34.591046+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
